자재명,단위,현재단가,공시일자,자재분류,품목분류,부가세여부,시황성자재
"Ceiling형, 10W",개,35718.0,2026-04-20 00:00:00,"시설공통자재(전기,정보통신)",PA용스피커,부가가치세별도,True
"금속문, 철재일반도아(일반분체)문틀포함 100*45*t1.6, 1.8*2.1, 양개",㎡,154800.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
백엘보 (용접 S#40) D32,개,1750.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D40,개,2100.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D50,개,3390.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D65,개,6360.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D80,개,9310.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D100,개,16190.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D125,개,29210.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D150,개,42570.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D200,개,84030.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D250,개,148690.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D300,개,245210.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D350,개,376300.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D400,개,548320.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑엘보 (용접 S#40) D15,개,770.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑엘보 (용접 S#40) D20,개,860.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑엘보 (용접 S#40) D25,개,940.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
