공종,필요구분,장비명,분류번호,규격,시간당손료_원,용도_메모
콘크리트 타설,조건부,콘크리트 믹서,4205-0010,0.10㎥,567,소규모 현장 배합
콘크리트 타설,조건부,콘크리트 믹서,4205-0017,0.17㎥,967,소규모 현장 배합
콘크리트 타설,조건부,콘크리트 믹서,4205-0020,0.20㎥,1138,소규모 현장 배합
콘크리트 타설,조건부,콘크리트 믹서,4205-0030,0.30㎥,1369,소규모 현장 배합
콘크리트 타설,조건부,콘크리트 믹서,4205-0040,0.40㎥,1566,소규모 현장 배합
콘크리트 타설,조건부,콘크리트 믹서,4205-0045,0.45㎥,1762,소규모 현장 배합
콘크리트 타설,주요,콘크리트 믹서트럭,4304-0060,6.0㎥,25948,레미콘 운반
콘크리트 타설,주요,콘크리트 믹서트럭,4304-0061,6.0㎥(L),25980,레미콘 운반
콘크리트 타설,주요,콘크리트 펌프차,4504-0021,"21m, 65~75㎥/hr",51698,콘크리트 압송/타설
콘크리트 타설,주요,콘크리트 펌프차,4504-0028,"28m, 65~75㎥/hr",61567,콘크리트 압송/타설
콘크리트 타설,주요,콘크리트 펌프차,4504-0032,"32m, 80~95㎥/hr",72600,콘크리트 압송/타설
콘크리트 타설,주요,콘크리트 펌프차,4504-0036,"36m, 80~95㎥/hr",90024,콘크리트 압송/타설
콘크리트 타설,주요,콘크리트 펌프차,4504-0041,"41m, 80~95㎥/hr",93192,콘크리트 압송/타설
콘크리트 타설,주요,콘크리트 펌프차,4504-0043,"43m, 80~95㎥/hr",118140,콘크리트 압송/타설
콘크리트 타설,주요,콘크리트 펌프차,4504-0047,"47m, 80~95㎥/hr",129579,콘크리트 압송/타설
콘크리트 타설,주요,콘크리트 펌프차,4504-0052,"52m, 80~95㎥/hr",137192,콘크리트 압송/타설
콘크리트 타설,조건부,콘크리트펌프,4505-0015,12~15㎥/hr(22㎾),15612,고정식/소규모 압송
콘크리트 타설,조건부,콘크리트펌프,4505-0026,20~26㎥/hr(30㎾),22231,고정식/소규모 압송
콘크리트 타설,주요,콘크리트 진동기,4611-0075,0.75㎾(전기식),71,타설 후 다짐
콘크리트 타설,주요,콘크리트 진동기,4611-0350,2.60㎾(엔진식),136,타설 후 다짐
철골 세우기,주요,크레인(무한궤도),2101-0010,10ton(버킷용량 0.29㎥),14120,철골 부재 양중
철골 세우기,주요,크레인(무한궤도),2101-0015,15ton(버킷용량 0.38㎥),20981,철골 부재 양중
철골 세우기,주요,크레인(무한궤도),2101-0020,20ton(버킷용량 0.57㎥),26776,철골 부재 양중
철골 세우기,주요,크레인(무한궤도),2101-0025,25ton(버킷용량 0.76㎥),30973,철골 부재 양중
철골 세우기,주요,크레인(무한궤도),2101-0030,30ton(버킷용량 1.15㎥),40165,철골 부재 양중
철골 세우기,주요,크레인(무한궤도),2101-0035,35ton(버킷용량 1.33㎥),52885,철골 부재 양중
철골 세우기,주요,크레인(무한궤도),2101-0040,40ton(버킷용량 1.53㎥),53910,철골 부재 양중
철골 세우기,주요,크레인(무한궤도),2101-0050,50ton(버킷용량 1.91㎥),73019,철골 부재 양중
철골 세우기,주요,크레인(무한궤도),2101-0070,70ton(버킷용량 2.29㎥),85472,철골 부재 양중
