"세부직종별(1)",2025.2/2,2026.1/2
"1001-작업반장",214661,215907
"1002-보통인부",171037,172068
"1003-특별인부",224490,226122
"1004-조력공",179958,179028
"1005-제도사",239200,237324
"1006-비계공",279613,281939
"1007-형틀목공",273074,275790
"1008-철근공",265818,268187
"1009-철공",237686,239808
"1010-철판공",219862,221481
"1011-철골공",251511,252641
"1012-용접공",280178,282536
"1013-콘크리트공",271064,273540
"1014-보링공",226520,232562
"1015-착암공",220354,222306
"1016-화약취급공",261462,272448
"1017-할석공",240163,241932
"1018-포설공",219579,221015
"1019-포장공",270747,273308
"1020-잠수부",392061,387342
"1021-조적공",275141,270807
"1022-견출공",247938,250903
"1023-건축목공",283068,277642
"1024-창호공",250287,247188
"1025-유리공",250389,253539
"1026-방수공",226204,228286
"1027-미장공",278998,277276
"1028-타일공",286589,290939
"1029-도장공",258362,263017
"1030-내장공",255231,256883
"1031-도배공",226042,227614
"1032-연마공",210772,-
"1033-석공",267532,268908
"1034-줄눈공",207796,211653
"1035-판넬조립공",240735,243121
"1036-지붕잇기공",229958,233250
"1037-벌목부",248140,253243
"1038-조경공",227176,235204
"1039-배관공",239439,247897
"1040-배관공(수도)",257390,262580
"1041-보일러공",-,240120
"1042-위생공",220650,218908
"1043-덕트공",205696,202472
"1044-보온공",214975,217012
"1045-인력운반공",181753,180193
"1046-궤도공",-,218933
"1047-건설기계조장",-,210909
"1048-건설기계운전사",279824,283297
"1049-화물차운전사",240685,238936
"1050-일반기계운전사",172387,173995
"1051-기계설비공",241550,241698
"1052-준설선선장",-,-
"1053-준설선기관사",-,-
"1054-준설선운전사",-,-
"1055-선원",-,-
"1056-플랜트배관공",324800,320480
"1057-플랜트제관공",260644,266029
"1058-플랜트용접공",301090,292640
"1059-플랜트특수용접공",337247,-
"1060-플랜트기계설치공",238846,230376
"1061-플랜트특별인부",220283,213074
"1062-플랜트케이블전공",262679,264269
"1063-플랜트계장공",202691,204377
"1064-플랜트덕트공",-,-
"1065-플랜트보온공",247756,250140
"1066-제철축로공",358786,362985
"1067-비파괴시험공",216404,214553
"1068-특급품질관리원",198613,199588
"1069-고급품질관리원",195243,197788
"1070-중급품질관리원",175633,177841
"1071-초급품질관리원",147438,149081
"1072-지적기사",274286,275711
"1073-지적산업기사",242724,245000
"1074-지적기능사",180875,178874
"1075-내선전공",273539,273676
"1076-특고압케이블전공",439248,440616
"1077-고압케이블전공",372997,373640
"1078-저압케이블전공",303632,304156
"1079-송전전공",637453,638460
"1080-송전활선전공",673714,675173
"1081-배전전공",413173,414968
"1082-배전활선전공",560837,562439
"1083-플랜트전공",271800,269759
"1084-계장공",318902,319449
"1085-철도신호공",305348,310041
"1086-통신내선공",283607,284880
"1087-통신설비공",314787,315528
"1088-통신외선공",407342,408942
"1089-통신케이블공",440868,436224
"1090-무선안테나공",354977,356809
"1091-석면해체공",204762,204181
"2001-광케이블설치사",467653,471349
"2002-H/W시험사",390048,393090
"2003-S/W시험사",446000,446358
"3001-도편수",-,-
"3002-드잡이공",-,-
"3003-한식목공",350828,342273
"3004-한식목공조공",-,243009
"3005-한식석공",392588,386079
"3006-한식미장공",339830,321230
"3007-한식와공",347811,333250
"3008-한식와공조공",274659,278180
"3009-목조각공",-,-
"3010-석조각공",-,-
"3011-특수화공",-,324326
"3012-화공",313333,322920
"3013-드잡이공편수",-,-
"3014-한식미장공편수",-,-
"3015-한식와공편수",-,-
"3016-한식단청공편수",-,286887
"3017-한식석공조공",320000,321250
"3018-한식미장공조공",247982,250000
"4001-원자력플랜트전공",237846,221727
"4002-원자력용접공",211525,217203
"4003-원자력기계설치공",231539,229770
"4004-원자력품질관리사",284862,285759
"5001-통신관련기사",318479,320449
"5002-통신관련산업기사",303262,304509
"5003-통신관련기능사",249360,249822
"5004-전기공사기사",333866,335319
"5005-전기공사산업기사",292729,294135
"5006-변전전공",483274,485075
"5007-코킹공",208590,209131
"5008-특급품질관리기술인",265227,271869
"5009-고급품질관리기술인",216558,220394
"5010-중급품질관리기술인",186963,192523
"5011-초급품질관리기술인",161595,167155
"5012-플로어링마루시공공",256409,257561
"5013-교통정리원",171884,173784
"5014-철거공",267829,266743
"5015-흙막이공",272974,275072
"5016-전철전공",421317,426714
