prceNticeNo,nticeDt,bsnsDivCd,bsnsDivNm,prdctClsfcNo,prdctIdntNo,invstDeptNm,invstDeptTelNo,invstOfclNm,prdctClsfcNoNm,krnPrdctNm,unit,prce,cntrctCorpNm,cntrctCorpTelNo,splyJrsdctRgnNm,etcCntnts,mtrlcst,lbrcst,gnrlexpns,prodctFld,vatYnNm,prceDiv,dlvryCndtnNm,distbStep,payCndtn,treekndNo,specThtLen,specWtrtbBtLen,specWtrtbLen,specBhtDmLen,specRootDmLen
R24CW21466456,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142422,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 18×1220×2440mm",매,51954,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466056,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142457,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 18×910×1820mm",매,30989,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466066,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142462,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 18×1220×2440mm",㎡,17887,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466046,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142452,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 12×910×1820mm",㎡,12114,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466068,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142463,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 18×1220×2440mm",매,53248,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466062,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142460,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 15×1220×2440mm",㎡,14828,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466050,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142454,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 15×910×1820mm",㎡,16826,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466052,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142455,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 15×910×1820mm",매,27868,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466060,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142459,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 12×1220×2440mm",매,32550,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466048,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142453,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 12×910×1820mm",매,20065,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466058,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142458,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 12×1220×2440mm",㎡,10934,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466064,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142461,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 15×1220×2440mm",매,44143,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466054,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142456,건축설비과,042-724-7109,이상대,내수합판,"내수합판, 1급, 18×910×1820mm",㎡,18711,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466446,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142417,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 12×1220×2440mm",㎡,10373,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466430,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20935461,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 보통합판, 1급, 3.6mm",㎡,4045,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466454,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142421,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 18×1220×2440mm",㎡,17453,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
