prceNticeNo,nticeDt,bsnsDivCd,bsnsDivNm,prdctClsfcNo,prdctIdntNo,invstDeptNm,invstDeptTelNo,invstOfclNm,prdctClsfcNoNm,krnPrdctNm,unit,prce,cntrctCorpNm,cntrctCorpTelNo,splyJrsdctRgnNm,etcCntnts,mtrlcst,lbrcst,gnrlexpns,prodctFld,vatYnNm,prceDiv,dlvryCndtnNm,distbStep,payCndtn,treekndNo,specThtLen,specWtrtbBtLen,specWtrtbLen,specBhtDmLen,specRootDmLen
R24CW21374829,2024-10-16 14:14:21,포110005,시설공통자재(토목),20111604,20590631,공사원가기준과,070-4056-7308,남효성,크롤러로드,"크롤러형천공기, (부품)크롤러로드, 38×38×3050mm",EA,278000,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R24CW21374831,2024-10-16 14:14:21,포110005,시설공통자재(토목),20111604,20590629,공사원가기준과,070-4056-7308,남효성,크롤러 슬리브,"크롤러형천공기, (부품)크롤러슬리브, 38×38mm",EA,58000,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R24CW21374828,2024-10-16 14:14:21,포110005,시설공통자재(토목),20111604,20590632,공사원가기준과,070-4056-7308,남효성,크롤러비트,"크롤러형천공기, (부품)크롤러비트, 38×64mm",EA,126000,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R24CW21374830,2024-10-16 14:14:21,포110005,시설공통자재(토목),20111604,20590630,공사원가기준과,070-4056-7308,남효성,크롤러샹크,"크롤러형천공기, (부품)크롤러섕크, 38×380(PCR200)mm",EA,214000,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R25CW23002300,2025-04-24 00:00:00,포110005,시설공통자재(토목),20111604,20590629,공사원가기준과,070-4056-7384,전시영,크롤러 슬리브,"크롤러형천공기, (부품)크롤러슬리브, 38×38mm",EA,58000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW23002303,2025-04-24 00:00:00,포110005,시설공통자재(토목),20111604,20590632,공사원가기준과,070-4056-7384,전시영,크롤러비트,"크롤러형천공기, (부품)크롤러비트, 38×64mm",EA,126000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW23002302,2025-04-24 00:00:00,포110005,시설공통자재(토목),20111604,20590631,공사원가기준과,070-4056-7384,전시영,크롤러로드,"크롤러형천공기, (부품)크롤러로드, 38×38×3050mm",EA,278000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW23002301,2025-04-24 00:00:00,포110005,시설공통자재(토목),20111604,20590630,공사원가기준과,070-4056-7384,전시영,크롤러샹크,"크롤러형천공기, (부품)크롤러섕크, 38×380(PCR200)mm",EA,214000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311768,2025-10-23 00:00:00,포110005,시설공통자재(토목),20111604,20590629,공사원가기준과,070-4056-7384,전시영,크롤러 슬리브,"크롤러형천공기, (부품)크롤러슬리브, 38×38mm",EA,47700,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311771,2025-10-23 00:00:00,포110005,시설공통자재(토목),20111604,20590632,공사원가기준과,070-4056-7384,전시영,크롤러비트,"크롤러형천공기, (부품)크롤러비트, 38×64mm",EA,118800,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311770,2025-10-23 00:00:00,포110005,시설공통자재(토목),20111604,20590631,공사원가기준과,070-4056-7384,전시영,크롤러로드,"크롤러형천공기, (부품)크롤러로드, 38×38×3050mm",EA,247500,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311769,2025-10-23 00:00:00,포110005,시설공통자재(토목),20111604,20590630,공사원가기준과,070-4056-7384,전시영,크롤러샹크,"크롤러형천공기, (부품)크롤러섕크, 38×380(PCR200)mm",EA,198000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25851881,2026-04-20 00:00:00,포110005,시설공통자재(토목),20111604,20590631,공사원가기준과,070-4056-7132,조은지,크롤러로드,"크롤러형천공기, (부품)크롤러로드, 38×38×3050mm",EA,252540,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25851880,2026-04-20 00:00:00,포110005,시설공통자재(토목),20111604,20590630,공사원가기준과,070-4056-7132,조은지,크롤러샹크,"크롤러형천공기, (부품)크롤러섕크, 38×380(PCR200)mm",EA,202030,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
