prceNticeNo,nticeDt,bsnsDivCd,bsnsDivNm,prdctClsfcNo,prdctIdntNo,invstDeptNm,invstDeptTelNo,invstOfclNm,prdctClsfcNoNm,krnPrdctNm,unit,prce,cntrctCorpNm,cntrctCorpTelNo,splyJrsdctRgnNm,etcCntnts,mtrlcst,lbrcst,gnrlexpns,prodctFld,vatYnNm,prceDiv,dlvryCndtnNm,distbStep,payCndtn,treekndNo,specThtLen,specWtrtbBtLen,specWtrtbLen,specBhtDmLen,specRootDmLen
R24CW21377849,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180164,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS 35㎟",m,4735,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377864,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,10040625,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS 95㎟",m,13268,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377862,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,10040623,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS50㎟",m,6944,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377845,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180160,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS 6㎟",m,806,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377843,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180158,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS 2.5㎟",m,337,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377858,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,10040619,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS 10㎟",m,1360,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377853,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180170,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS 120㎟",m,16762,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377851,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180166,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS 70㎟",m,9556,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377847,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180162,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS 16㎟",m,2185,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377856,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,10040617,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS 4㎟",m,558,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377865,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20181509,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS 120㎟",m,16762,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377848,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180163,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS 25㎟",m,3480,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377852,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180169,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS 95㎟",m,13268,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377850,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180165,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS50㎟",m,6944,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377846,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180161,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS 10㎟",m,1360,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377863,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,10040624,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS 70㎟",m,9556,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377860,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,10040621,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS 25㎟",m,3480,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377859,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,10040620,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS 16㎟",m,2185,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377855,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,10040616,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS 2.5㎟",m,337,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377844,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180159,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS 4㎟",m,558,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377866,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20181510,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS 150㎟",m,20422,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377861,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,10040622,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS 35㎟",m,4735,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377857,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,10040618,공사원가기준과,042-724-7180,강전승,전기용경동연선,"전기용경동연선, HS 6㎟",m,806,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21377854,2024-10-16 17:16:34,포110004,"시설공통자재(전기,정보통신)",26121522,20180171,공사원가기준과,042-724-7180,강전승,전기용연동연선,"전기용연동연선, AS150㎟",m,20422,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R25CW22923978,2025-04-28 00:00:00,포110004,"시설공통자재(전기,정보통신)",26121522,20180158,공사원가기준과,042-724-7397,이상철,전기용연동연선,"AS, 2.5㎟",m,338,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW22924001,2025-04-28 00:00:00,포110004,"시설공통자재(전기,정보통신)",26121522,20181510,공사원가기준과,042-724-7397,이상철,전기용경동연선,"HS, 150㎟",m,20542,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW22924000,2025-04-28 00:00:00,포110004,"시설공통자재(전기,정보통신)",26121522,20181509,공사원가기준과,042-724-7397,이상철,전기용경동연선,"HS, 120㎟",m,16861,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW22923999,2025-04-28 00:00:00,포110004,"시설공통자재(전기,정보통신)",26121522,10040625,공사원가기준과,042-724-7397,이상철,전기용경동연선,"HS, 95㎟",m,13346,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW22923998,2025-04-28 00:00:00,포110004,"시설공통자재(전기,정보통신)",26121522,10040624,공사원가기준과,042-724-7397,이상철,전기용경동연선,"HS, 70㎟",m,9612,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW22923997,2025-04-28 00:00:00,포110004,"시설공통자재(전기,정보통신)",26121522,10040623,공사원가기준과,042-724-7397,이상철,전기용경동연선,"HS, 50㎟",m,6837,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW22923996,2025-04-28 00:00:00,포110004,"시설공통자재(전기,정보통신)",26121522,10040622,공사원가기준과,042-724-7397,이상철,전기용경동연선,"HS, 35㎟",m,4609,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW22923995,2025-04-28 00:00:00,포110004,"시설공통자재(전기,정보통신)",26121522,10040621,공사원가기준과,042-724-7397,이상철,전기용경동연선,"HS, 25㎟",m,3500,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW22923994,2025-04-28 00:00:00,포110004,"시설공통자재(전기,정보통신)",26121522,10040620,공사원가기준과,042-724-7397,이상철,전기용경동연선,"HS, 16㎟",m,2197,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
