prceNticeNo,nticeDt,bsnsDivCd,bsnsDivNm,prdctClsfcNo,prdctIdntNo,invstDeptNm,invstDeptTelNo,invstOfclNm,prdctClsfcNoNm,krnPrdctNm,unit,prce,cntrctCorpNm,cntrctCorpTelNo,splyJrsdctRgnNm,etcCntnts,mtrlcst,lbrcst,gnrlexpns,prodctFld,vatYnNm,prceDiv,dlvryCndtnNm,distbStep,payCndtn,treekndNo,specThtLen,specWtrtbBtLen,specWtrtbLen,specBhtDmLen,specRootDmLen
R24CW21380824,2024-10-17 09:29:48,포110003,시설공통자재(기계설비),23271812,20080653,건축설비과,070-4056-7409,장준기,동  및 동합금용 용접봉,"동및동합금용용접봉, 동, Φ2.4mm, BCUP3",kg,76970,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382813,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),23990599,20969779,건축설비과,070-4056-6146,김택중,소음기,"소음기, 사면체",㎠,14,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382812,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),23990599,20969780,건축설비과,070-4056-6146,김택중,소음엘보,"소음기, 엘보, 덕트면적",㎠,188,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382811,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),23990599,20969781,건축설비과,070-4056-6146,김택중,소음챔버,"소음기, 소음챔버, 표면적",㎠,10,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R25CW22915031,2025-04-27 00:00:00,포110003,시설공통자재(기계설비),23990599,20969781,건축설비과,042-724-6146,김택중,소음챔버,표면적,㎠,10,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW22915033,2025-04-27 00:00:00,포110003,시설공통자재(기계설비),23990599,20969779,건축설비과,042-724-6146,김택중,소음기,사면체,㎠,14,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW22915032,2025-04-27 00:00:00,포110003,시설공통자재(기계설비),23990599,20969780,건축설비과,042-724-6146,김택중,소음엘보,닥트단면,㎠,188,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R24CW21382925,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),24111810,20139917,건축설비과,070-4056-6146,김택중,압력탱크,"물탱크, 200LIT, 압력탱크",EA,609370,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382924,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),24111810,20139910,건축설비과,070-4056-6146,김택중,압력탱크,"물탱크, 100LIT, 압력탱크",EA,297500,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R25CW22915144,2025-04-27 00:00:00,포110003,시설공통자재(기계설비),24111810,20139910,건축설비과,042-724-6146,김택중,압력탱크,"10kg/100l, 100L",EA,340000,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW22915145,2025-04-27 00:00:00,포110003,시설공통자재(기계설비),24111810,20139917,건축설비과,042-724-6146,김택중,압력탱크,"10kg/200l, 200L",EA,703120,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW24312375,2025-10-23 00:00:00,포110003,시설공통자재(기계설비),24111810,20139910,건축설비과,042-724-6146,김택중,압력탱크,"10kg/100l, 100L",대,340000,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R25CW24312376,2025-10-23 00:00:00,포110003,시설공통자재(기계설비),24111810,20139917,건축설비과,042-724-6146,김택중,압력탱크,"10kg/200l, 200L",대,703120,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R26CW25847137,2026-04-20 00:00:00,포110003,시설공통자재(기계설비),24111810,20139910,건축설비과,042-724-6146,송병태,압력탱크,"10kg/100l, 100L",대,340000,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R26CW25847138,2026-04-20 00:00:00,포110003,시설공통자재(기계설비),24111810,20139917,건축설비과,042-724-6146,송병태,압력탱크,"10kg/200l, 200L",대,703120,,,,,0,0,0,,부가가치세별도,기타가격,납품장소도,,,,,,,,
R24CW21382124,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),26101115,20969787,건축설비과,070-4056-7518,윤동섭,삼상농형유도전동기,"삼상농형유도전동기, 저압3상, 고효율, 375W, 4P",대,228900,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382143,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),26101115,20969806,건축설비과,070-4056-7518,윤동섭,삼상농형유도전동기,"삼상농형유도전동기, 저압3상, 고효율, 187kW, 4P",대,21339000,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382139,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),26101115,20969802,건축설비과,070-4056-7518,윤동섭,삼상농형유도전동기,"삼상농형유도전동기, 저압3상, 고효율, 75kW, 4P",대,10593000,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382133,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),26101115,20969796,건축설비과,070-4056-7518,윤동섭,삼상농형유도전동기,"삼상농형유도전동기, 저압3상, 고효율, 18kW, 4P",대,2088000,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382144,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),26101115,20969807,건축설비과,070-4056-7518,윤동섭,삼상농형유도전동기,"삼상농형유도전동기, 저압3상, 고효율, 225kW, 4P",대,26458000,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382138,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),26101115,20969801,건축설비과,070-4056-7518,윤동섭,삼상농형유도전동기,"삼상농형유도전동기, 저압3상, 고효율, 56kW, 4P",대,7607000,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382137,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),26101115,20969800,건축설비과,070-4056-7518,윤동섭,삼상농형유도전동기,"삼상농형유도전동기, 저압3상, 고효율, 45kW, 4P",대,5817000,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382135,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),26101115,20969798,건축설비과,070-4056-7518,윤동섭,삼상농형유도전동기,"삼상농형유도전동기, 저압3상, 고효율, 30kW, 4P",대,3562000,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
R24CW21382134,2024-10-17 09:32:02,포110003,시설공통자재(기계설비),26101115,20969797,건축설비과,070-4056-7518,윤동섭,삼상농형유도전동기,"삼상농형유도전동기, 저압3상, 고효율, 22kW, 4P",대,2394000,,,002,,,,,,부가가치세별도,기타가격,납품장소도,기타조건,,,,,,,
