자재명,단위,현재단가,자재분류,품목분류,공시일자,부가세여부,출처
레미콘(25-24-150),m³,105000,콘크리트,레미콘,2026-06-01,부가가치세별도,한국물가정보
레미콘(25-21-150),m³,100000,콘크리트,레미콘,2026-06-01,부가가치세별도,한국물가정보
레미콘(25-18-150),m³,95000,콘크리트,레미콘,2026-06-01,부가가치세별도,한국물가정보
레미콘(30-24-150),m³,112000,콘크리트,레미콘,2026-06-01,부가가치세별도,한국물가정보
레미콘(35-24-150),m³,120000,콘크리트,레미콘,2026-06-01,부가가치세별도,한국물가정보
레미콘(40-24-150),m³,130000,콘크리트,레미콘,2026-06-01,부가가치세별도,한국물가정보
포틀랜드시멘트(1종),포,5800,시멘트,시멘트,2026-06-01,부가가치세별도,한국물가정보
포틀랜드시멘트(1종),kg,145,시멘트,시멘트,2026-06-01,부가가치세별도,한국물가정보
백시멘트,포,12000,시멘트,시멘트,2026-06-01,부가가치세별도,한국물가정보
조강시멘트,포,7500,시멘트,시멘트,2026-06-01,부가가치세별도,한국물가정보
무수축그라우트,포,32000,콘크리트,그라우트,2026-06-01,부가가치세별도,한국물가정보
경량기포콘크리트,m³,80000,콘크리트,경량콘크리트,2026-06-01,부가가치세별도,한국물가정보
ALC블록(600x200x100),개,3200,콘크리트,ALC,2026-06-01,부가가치세별도,한국물가정보
ALC블록(600x200x150),개,4500,콘크리트,ALC,2026-06-01,부가가치세별도,한국물가정보
콘크리트블록(190x90x390),개,1200,콘크리트,블록,2026-06-01,부가가치세별도,한국물가정보
콘크리트블록(190x120x390),개,1500,콘크리트,블록,2026-06-01,부가가치세별도,한국물가정보
잔골재(강모래),m³,35000,골재,모래,2026-06-01,부가가치세별도,한국물가정보
잔골재(바다모래),m³,28000,골재,모래,2026-06-01,부가가치세별도,한국물가정보
굵은골재(자갈 25mm),m³,38000,골재,자갈,2026-06-01,부가가치세별도,한국물가정보
굵은골재(자갈 40mm),m³,36000,골재,자갈,2026-06-01,부가가치세별도,한국물가정보
부순돌(25mm),m³,32000,골재,부순돌,2026-06-01,부가가치세별도,한국물가정보
